,y_test,xgb_y_pred,y_test
469,2.5,3.284499407,2.5
470,9.9,11.6314764,9.9
471,10.98,9.701605797,10.98
472,28,27.81240463,28
473,4,3.998883963,4
474,12.98,13.85775948,12.98
475,9,9.08163166,9
476,23,22.8317337,23
477,6,6.035390377,6
478,19,19.14992142,19
479,16,16.1640625,16
480,36.8,31.43954468,36.8
481,18.5,16.24579239,18.5
482,10.8,12.69445515,10.8
483,6.5,12.1900034,6.5
484,18,17.7819519,18
485,24.5,25.37313271,24.5
486,21,22.29174042,21
487,6.39,8.33062458,6.39
488,19.5,20.92218018,19.5
489,28,27.91100693,28
490,24,24.10180283,24
491,9.8,7.464727402,9.8
492,12,11.97621155,12
493,27,27.15000725,27
494,27.5,24.59846115,27.5
495,16.3,17.82933807,16.3
496,27,26.83736801,27
497,12,14.8024025,12
498,7,6.946060658,7
499,14.28,15.25771713,14.28
500,15,15.56375122,15
501,37,32.73255157,37
502,26.98,25.5758152,26.98
503,16,17.1716156,16
504,25.38,26.18471909,25.38
505,34,34.19377136,34
506,12.88,14.83989525,12.88
507,21.8,19.41922951,21.8
508,18,18.37075043,18
509,35.5,34.07748032,35.5
510,3.8,3.765957355,3.8
511,6.8,6.894831657,6.8
512,17,16.8037262,17
513,14.18,14.70918655,14.18
514,21.5,17.93751717,21.5
515,18,20.07142448,18
516,18.98,18.54686356,18.98
517,14.68,15.67590237,14.68
518,3.68,4.662690639,3.68
519,18.5,21.09722137,18.5
520,34,33.81844711,34
521,19,19.04337311,19
522,19.5,20.79940796,19.5
523,22,20.76373863,22
524,23.5,23.06080627,23.5
525,6,5.743273258,6
526,18.48,18.88280487,18.48
527,28,27.88985062,28
528,12.2,14.44764709,12.2
529,3.9,4.719714165,3.9
530,9.68,10.58440208,9.68
531,18,18.31095886,18
532,10.3,11.49548626,10.3
533,24.8,21.3482151,24.8
534,6,5.969183922,6
535,12,8.669942856,12
536,11.5,11.39231968,11.5
537,2.2,2.311169863,2.2
538,13,17.90756035,13
539,18,18.04446793,18
540,20.98,16.52889824,20.98
541,14.18,15.01483631,14.18
542,25.99,27.40550804,25.99
543,11.98,13.89655495,11.98
544,10,9.958036423,10
545,9.5,7.735221386,9.5
546,4.7,4.803755283,4.7
547,8.98,8.074319839,8.98
548,23.5,24.16671371,23.5
549,16,15.94702148,16
550,4.68,6.558582306,4.68
551,1.98,1.668128252,1.98
552,5.88,5.980931282,5.88
553,21,21.22670937,21
554,22.98,19.91108131,22.98
555,19,18.68770218,19
556,9,9.004893303,9
557,24,23.90343475,24
558,21,20.32748413,21
559,15,15.11240768,15
560,3.2,3.077584505,3.2
561,26,30.14253998,26
562,4.98,4.687927246,4.98
563,8.98,8.904417992,8.98
564,22,21.96591377,22
565,6,8.891149521,6
566,19.8,19.53600311,19.8
567,6.6,6.844362736,6.6
568,4.1,4.700719833,4.1
569,18,16.6097393,18
570,24.8,22.69594383,24.8
571,28.28,25.54774857,28.28
572,24,23.87146378,24
573,12,11.8925209,12
574,18,17.90884018,18
575,6.78,7.019732952,6.78
576,25,24.85783195,25
577,11,10.74839211,11
578,17.5,21.72737503,17.5
579,25,22.74575424,25
580,7.28,8.490870476,7.28
581,8.5,8.38969326,8.5
582,10.38,9.997728348,10.38
583,38,32.53472137,38
584,16.8,16.679142,16.8
585,6.3,6.975203991,6.3
586,18,17.14636612,18
587,15.5,17.69210434,15.5
588,4.98,4.872513771,4.98
589,16.3,18.53716278,16.3
590,8,7.609020233,8
591,8.6,8.777767181,8.6
592,7.5,6.371835709,7.5
593,11.5,12.16894913,11.5
594,12,13.06524944,12
595,19,19.05419159,19
596,20.8,19.85917854,20.8
597,6.78,6.253108025,6.78
598,33.5,31.65397453,33.5
599,18,18.55234528,18
600,6.8,7.360793114,6.8
601,27,26.9659214,27
602,18.6,18.66566086,18.6
603,6.66,6.441766739,6.66
604,5.8,5.864098549,5.8
605,27,25.73922729,27
606,24,22.99799728,24
607,20,20.13658524,20
608,19,18.82883263,19
609,5,4.991991997,5
610,16.1,17.63683319,16.1
611,8.88,8.138325691,8.88
612,11,10.93486691,11
613,3.76,4.059852123,3.76
614,3.8,6.745250225,3.8
615,22.8,34.58666992,22.8
616,9,8.933272362,9
617,5.5,5.343304157,5.5
618,10.98,10.84908962,10.98
619,22,22.02030182,22
620,18,18.00572968,18
621,21,21.10472107,21
622,6,6.190680027,6
623,14.5,15.04529285,14.5
624,11,10.85044289,11
625,14.8,14.96331215,14.8
626,6.3,7.103070259,6.3
627,6,8.860401154,6
628,20,20.03968048,20
629,34,33.84490585,34
630,18.8,19.47114563,18.8
631,14.5,11.66822815,14.5
632,8.8,7.410033703,8.8
633,23,20.05547333,23
634,10.5,9.579647064,10.5
635,11.68,10.49061298,11.68
636,24.98,24.98307228,24.98
637,10,12.72272778,10
638,6,6.047106743,6
639,16.98,16.50939178,16.98
640,27,17.87958527,27
641,3.3,2.772642851,3.3
642,17,17.08852768,17
643,11.3,11.73067284,11.3
644,37,34.77724075,37
645,23,23.05096626,23
646,23,23.05435181,23
647,9.68,8.618638039,9.68
648,19.8,19.77208519,19.8
649,22,21.87975311,22
650,6.5,5.338807583,6.5
651,7.5,8.080024719,7.5
652,26,26.02415657,26
653,1.5,2.324598551,1.5
654,17,16.90651512,17
655,15.2,15.37607765,15.2
656,4.8,4.589895725,4.8
657,17.58,21.58238983,17.58
658,5.5,6.258562088,5.5
659,9,6.355937004,9
660,16.8,15.74298,16.8
661,27.9,26.23888206,27.9
662,11.2,8.403224945,11.2
663,4.7,6.413976192,4.7
664,35.5,35.44018555,35.5
665,17,16.79204559,17
666,3.1,2.498321772,3.1
667,15.98,20.20778275,15.98
668,10.28,12.69569683,10.28
669,7.98,8.579315186,7.98
670,13,12.67738247,13
671,7.8,8.936844826,7.8
672,15,15.00743389,15
673,10,11.30295563,10
674,40,36.83443451,40
675,12,11.98709202,12
676,24.8,23.73571205,24.8
677,3,5.820750237,3
678,5,5.106548309,5
679,17,17.06411743,17
680,15.5,18.71969795,15.5
681,12,12.1438694,12
682,8,7.795938969,8
683,12,12.06030846,12
684,12.9,14.33584595,12.9
685,23,23.11077309,23
686,4.6,4.613077164,4.6
687,24.68,25.83533096,24.68
688,10.5,9.569713593,10.5
689,4.9,5.336040497,4.9
690,9.8,7.181564808,9.8
691,3.1,2.994818687,3.1
692,7,6.98513937,7
693,17,17.02033043,17
694,9.28,8.693771362,9.28
695,15.3,16.28948212,15.3
696,7.5,8.311881065,7.5
697,7.3,7.821482182,7.3
698,19,19.23983383,19
699,28.5,26.54980469,28.5
700,1.38,1.8708359,1.38
701,10.68,10.58360767,10.68
702,8.8,9.105981827,8.8
703,7.5,16.46138954,7.5
704,22,22.00148964,22
705,15,15.06710148,15
706,32.8,30.50231171,32.8
707,27.8,28.13283539,27.8
708,7,7.107338428,7
709,8.18,14.96985722,8.18
710,5.1,5.95862627,5.1
711,2.4,1.767965078,2.4
712,8,8.063925743,8
713,26,26.22052193,26
714,2.7,3.499168873,2.7
715,10.5,12.4575882,10.5
716,26.6,25.24510574,26.6
717,12,12.18608093,12
718,8,6.247797966,8
719,25,25.01306725,25
720,18.75,21.56305885,18.75
721,29,31.1414032,29
722,3.9,5.039548397,3.9
723,14.5,14.78306675,14.5
724,16,17.69034386,16
725,23,22.89584732,23
726,23.5,25.63498306,23.5
727,21,19.69719887,21
728,27.8,27.94641113,27.8
729,3.6,3.010937452,3.6
730,3.4,3.568617105,3.4
731,26.5,25.05284691,26.5
732,19.5,19.93818665,19.5
733,18.9,17.18052292,18.9
734,5.5,6.901581764,5.5
735,16.6,16.10988808,16.6
736,33.98,18.41179657,33.98
737,36.2,34.4526329,36.2
738,10,14.69383812,10
739,2.88,4.940491199,2.88
740,17,17.16712761,17
741,5.08,6.846792221,5.08
742,26,25.91485786,26
743,15,15.09287643,15
744,5,4.947401047,5
745,14,12.45184326,14
746,25.18,25.47289467,25.18
747,15,16.67223358,15
748,7.8,7.556082249,7.8
749,10.8,15.80632496,10.8
750,4.85,2.627240419,4.85
751,4.28,3.835649729,4.28
752,10,12.00937462,10
753,24,24.52645111,24
754,15.68,17.54561234,15.68
755,12,11.90070438,12
756,16.5,15.45177078,16.5
757,25,35.30017471,25
758,23.5,20.01123238,23.5
759,17.3,19.3562355,17.3
760,15.88,14.22480869,15.88
761,9.88,10.4657793,9.88
762,18.5,21.17911339,18.5
763,21,26.03652763,21
764,21,21.05620956,21
765,4,3.883183718,4
766,16.8,17.81690788,16.8
767,17.68,17.75893211,17.68
768,16.8,16.35035515,16.8
769,3.5,3.916378736,3.5
770,10,9.656888962,10
771,15.85,20.63653946,15.85
772,18,18.19745827,18
773,21,22.05711555,21
774,19.8,21.79330635,19.8
775,38,27.03970528,38
776,6.6,7.164393425,6.6
777,10.58,9.680826187,10.58
778,9.9,9.986371994,9.9
779,8.5,8.855104446,8.5
780,18,17.81786156,18
781,10.8,13.76198864,10.8
782,24,23.81454849,24
783,6.5,6.289727211,6.5
784,12.2,10.75294781,12.2
785,27,19.55773735,27
786,18.5,18.92472076,18.5
787,1.98,2.565714359,1.98
788,6,5.775835037,6
789,14.5,12.82071781,14.5
790,16.5,16.36461639,16.5
791,28.5,28.19736862,28.5
792,6.6,7.044388294,6.6
793,4.5,6.369852066,4.5
794,33.5,29.94437981,33.5
795,16,16.38215065,16
796,8,8.08689785,8
797,8.88,10.97350216,8.88
798,6.5,8.685058594,6.5
799,12,11.94902611,12
800,7.4,8.379950523,7.4
801,12.98,14.88970757,12.98
802,3.2,2.97572875,3.2
