,二手车价格,品牌,新车购入价格,行驶里程,使用时间,车牌所在地,外迁标准1,外迁标准2,变速箱,过户次数,上架时间,超值,急售,0过户,准新车,综合车况,外观检测
22241,14.58,宝马,97.26,9.21,138,眉山,0,1,1,1,60,1,0,0,0,3,0
22242,14.0,奥迪,33.95,7.42,73,昆明,0,0,1,1,60,1,0,0,0,3,5
22243,14.5,别克,27.13,12.03,56,西安,0,0,1,0,60,1,1,1,0,3,0
22244,15.0,雷克萨斯,38.97,5.08,116,晋中,0,1,1,1,60,1,0,0,0,1,11
22245,14.5,MINI,28.55,9.03,59,北京,0,0,1,0,7,1,1,1,0,3,3
22246,14.0,路虎,69.25,9.29,102,北京,0,1,1,2,60,1,0,0,0,3,2
22247,14.0,MINI,31.18,11.35,81,北京,0,0,1,0,60,1,0,1,0,1,7
22248,14.88,路虎,58.4,7.32,92,北京,0,1,1,1,3,1,1,0,0,3,0
22249,14.2,比亚迪,20.83,5.62,20,广州,0,0,1,0,60,1,0,1,0,3,3
22250,14.0,日产,20.39,6.07,13,北京,0,0,1,0,30,1,0,1,0,3,0
22251,14.88,领克,19.73,1.39,132,恩施,0,0,1,0,7,1,0,1,1,3,1
22252,15.0,沃尔沃,41.13,10.9,63,深圳,0,0,1,0,60,1,0,1,0,3,4
22253,14.5,奥迪,22.82,1.19,36,重庆,0,0,1,0,60,1,0,1,0,3,1
22254,14.38,奥迪,36.14,7.06,84,成都,0,0,1,0,60,1,0,1,0,1,6
22255,14.8,宝马,49.17,6.25,110,北京,0,1,1,1,60,1,1,0,0,1,8
22256,14.68,奥迪,43.07,5.51,81,北京,0,0,1,2,1,1,1,0,0,3,0
22257,14.5,宝马,49.89,27.73,110,广州,0,1,1,0,60,1,0,1,0,1,6
22258,14.0,丰田,21.25,6.39,57,黄冈,0,0,1,0,60,1,0,1,0,3,1
22259,14.58,宝马,29.59,9.17,55,东莞,0,0,1,0,60,1,1,1,0,3,2
22260,14.3,福特,18.43,1.29,17,喀什,0,0,1,0,60,1,0,1,0,3,0
22261,14.5,别克,27.09,5.19,52,宁波,0,0,1,0,60,1,0,1,0,2,4
22262,15.0,奥迪,35.81,6.72,109,北京,0,1,1,0,60,1,1,1,0,1,6
22263,14.9,宝马,29.59,5.18,46,南昌,0,0,1,0,60,1,1,1,0,3,0
22264,14.0,日产,39.71,11.18,84,济源,0,1,1,1,60,1,0,0,0,3,4
22265,14.0,本田,18.75,4.52,25,合肥,0,0,1,0,60,1,0,1,0,3,1
22266,14.8,现代,19.95,3.57,21,北京,0,0,1,0,30,1,1,1,0,3,0
22267,15.0,宝马,33.26,6.74,67,廊坊,0,0,1,0,30,1,0,1,0,3,0
22268,14.0,红旗,23.21,4.23,35,成都,0,0,1,0,30,1,0,1,0,3,2
22269,14.2,凯迪拉克,40.15,10.86,58,运城,0,0,1,0,60,1,0,1,0,3,3
22270,14.98,凯迪拉克,29.72,7.87,59,成都,0,0,1,0,30,1,1,1,0,3,2
22271,14.0,大众,22.61,8.93,74,北京,0,1,1,1,60,1,0,0,0,1,7
22272,14.5,宝马,23.65,0.66,72,盐城,0,0,1,0,30,1,0,1,1,3,0
22273,14.2,大众,18.13,0.97,72,南阳,0,0,1,0,30,1,1,1,1,3,0
22274,14.0,日产,21.69,3.19,37,合肥,0,0,1,0,30,1,1,1,0,3,0
22275,15.0,日产,20.6,2.14,25,郑州,0,0,0,1,30,1,0,0,0,3,0
22276,14.0,依维柯,16.81,4.61,121,德州,0,1,0,2,30,1,0,0,0,3,0
22277,14.5,宝马,97.8,25.05,113,北京,0,1,1,2,30,1,0,0,0,1,6
22278,15.0,福特,54.25,24.77,99,青岛,0,0,1,3,30,0,1,0,0,2,5
22279,14.0,大众,32.11,3.7,69,昆明,0,0,1,0,30,0,0,1,0,3,0
22280,14.8,大众,28.1,9.61,50,北京,0,0,1,0,30,1,1,1,0,2,3
22281,15.0,奥迪,56.99,11.3,70,驻马店,0,0,1,4,30,0,0,0,0,1,7
22282,15.0,路虎,68.17,6.63,96,广州,0,0,1,1,30,1,0,0,0,3,4
22283,14.8,领克,17.67,0.05,48,广州,0,0,1,0,30,1,0,1,1,3,0
22284,14.98,沃尔沃,58.6,9.69,91,西安,0,1,1,0,30,1,1,1,0,3,0
22285,14.5,奔驰,47.54,10.2,102,沈阳,0,1,1,2,30,1,0,0,0,2,3
22286,15.0,大众,17.29,1.74,108,惠州,0,0,1,0,30,1,0,1,1,3,0
22287,14.0,大众,19.41,3.38,39,郑州,0,0,1,0,60,0,0,1,0,3,2
22288,14.0,宝马,35.38,12.83,58,青岛,0,0,1,0,30,1,0,1,0,1,7
22289,14.5,凯迪拉克,29.72,4.82,53,岳阳,0,0,1,0,30,1,0,1,0,3,0
22290,14.49,奥迪,63.5,13.04,111,重庆,0,1,1,1,30,1,0,0,0,3,2
22291,14.8,领克,19.52,0.81,108,惠州,0,0,1,0,30,1,0,1,1,3,0
22292,14.0,北京,19.52,3.2,17,昆明,0,0,1,0,30,1,1,1,0,3,0
22293,15.0,宝马,23.65,0.57,13,扬州,0,0,1,0,30,1,0,1,1,3,0
22294,15.0,大众,24.87,12.2,36,沈阳,0,0,1,0,30,1,0,1,0,3,1
22295,14.0,丰田,35.8,12.99,127,北京,0,1,1,0,30,1,1,1,0,1,10
22296,14.5,奥迪,24.46,1.61,30,中山,0,0,1,1,30,0,0,0,0,3,0
22297,15.0,本田,36.45,6.64,89,廊坊,0,0,1,1,30,1,0,0,0,3,0
22298,14.88,奥迪,38.32,5.7,80,南宁,0,1,1,0,30,0,0,1,0,2,1
22299,14.5,奥迪,46.98,13.49,111,连云港,0,1,1,0,60,1,0,1,0,3,0
