,二手车价格,品牌,新车购入价格,行驶里程,使用时间,车牌所在地,外迁标准1,外迁标准2,变速箱,过户次数,上架时间,超值,急售,0过户,准新车,综合车况,外观检测
11083,6.6,1,12.28,7.27,71,1,0,1,1,0,3,1,0,1,0,3,0
11084,6.5,1,11.45,1.33,35,1,0,0,1,0,3,1,0,1,0,3,1
11085,6.0,1,8.53,4.34,51,0,0,0,1,0,3,0,0,1,0,3,2
11086,6.4,1,13.01,7.71,59,2,0,0,1,0,3,1,1,1,0,3,2
11087,7.0,0,22.29,8.87,41,2,0,0,1,1,3,1,1,0,0,3,3
11088,6.0,1,43.41,21.96,142,2,0,1,1,0,3,1,0,1,0,3,0
11089,6.89,1,11.45,5.86,37,0,0,0,1,0,7,1,0,1,0,3,0
11090,6.2,0,12.49,3.61,40,1,0,0,1,0,7,1,1,1,0,3,5
11091,6.6,1,13.13,6.65,69,0,0,0,1,1,3,1,1,0,0,3,4
11092,7.0,1,14.58,6.3,66,1,0,0,1,0,7,1,0,1,0,1,9
11093,7.0,1,26.03,10.07,117,2,0,1,1,1,7,1,0,0,0,3,4
11094,6.98,0,8.12,0.77,120,2,0,0,1,0,7,1,1,1,1,3,0
11095,6.0,1,20.27,6.2,84,2,0,0,1,0,7,1,0,1,0,2,5
11096,7.0,1,30.94,14.2,102,1,0,1,1,2,15,0,0,0,0,1,12
11097,6.9,0,14.26,4.03,47,1,0,0,1,0,60,1,0,1,0,3,2
11098,6.98,1,30.22,11.39,110,1,0,0,1,0,7,1,1,1,0,3,0
11099,7.0,1,8.85,3.2,12,2,0,0,1,0,7,0,0,1,0,2,1
11100,6.5,1,30.7,24.34,134,1,0,1,1,2,7,1,1,0,0,1,7
11101,6.5,1,25.0,15.41,102,1,0,1,1,0,60,0,0,1,0,1,10
11102,6.0,1,8.64,2.04,34,0,0,0,0,1,7,1,1,0,0,3,0
11103,6.6,1,12.49,10.61,65,1,0,0,1,0,7,0,0,1,0,2,3
11104,6.5,0,8.96,0.24,12,1,0,0,1,0,7,1,0,1,1,3,0
11105,7.0,1,13.02,10.48,76,0,0,1,1,0,30,0,0,1,0,1,6
11106,6.0,1,11.77,7.21,43,1,0,0,1,0,7,1,0,1,0,3,0
11107,6.0,1,16.15,11.16,91,2,0,1,1,0,7,1,1,1,0,1,10
11108,6.2,1,25.6,9.58,123,0,0,1,1,2,7,1,0,0,0,3,4
11109,6.3,1,13.95,7.07,70,1,0,0,1,0,60,1,0,1,0,3,2
11110,6.66,1,12.4,3.85,51,1,0,0,1,1,30,0,0,0,0,1,6
11111,7.0,0,8.12,0.55,72,0,0,0,1,1,30,1,0,0,1,3,1
11112,6.8,1,15.21,8.8,75,0,0,1,0,0,7,0,0,1,0,1,6
11113,6.4,1,9.31,4.88,53,1,0,0,1,1,7,1,0,0,0,3,0
11114,6.38,1,12.07,5.91,59,0,0,0,1,0,7,1,0,1,0,3,0
