,y_test,xgb_y_pred,y_test,,,,,,,,,,,
269,6.3,5.981515884,6.3,,,,,,,,,,,
270,13.5,13.84150791,13.5,,,,,,,,,,,
271,32,33.22461319,32,,,,,,,,,,,
272,4,3.952819586,4,,,,,,,,,,,
273,20,19.95524406,20,,,,,,,,,,,
274,5,4.964246273,5,,,,,,,,,,,
275,7.99,8.981025696,7.99,,,,,,,,,,,
276,38,35.29371262,38,,,,,,,,,,,
277,15,16.60471916,15,,,,,,,,,,,
278,21,26.41258621,21,,,,,,,,,,,
279,21.8,22.43649292,21.8,,,,,,,,,,,
280,9.6,10.53349495,9.6,,,,,,,,,,,
281,20,20.11846733,20,,,,,,,,,,,
282,10.6,10.52199459,10.6,,,,,,,,,,,
283,34,34.43027496,34,,,,,,,,,,,
284,1,1.332897544,1,,,,,,,,,,,
285,9.4,10.84888363,9.4,,,,,,,,,,,
286,13.98,12.10892105,13.98,,,,,,,,,,,
287,18,17.99292374,18,,,,,,,,,,,
288,5,4.981939793,5,,,,,,,,,,,
289,6.95,5.413071632,6.95,,,,,,,,,,,
290,9,10.86740112,9,,,,,,,,,,,
291,12.5,12.47202969,12.5,,,,,,,,,,,
292,13.08,9.671151161,13.08,,,,,,,,,,,
293,14.5,13.10713482,14.5,,,,,,,,,,,
294,2.5,2.029289722,2.5,,,,,,,,,,,
295,4,3.771718979,4,,,,,,,,,,,
296,17,16.92510033,17,,,,,,,,,,,
297,38,30.46148109,38,,,,,,,,,,,
298,3,3.256420374,3,,,,,,,,,,,
299,3,2.925709724,3,,,,,,,,,,,
300,1.9,1.770407081,1.9,,,,,,,,,,,
301,7.5,6.141844749,7.5,,,,,,,,,,,
302,4.3,4.602068901,4.3,,,,,,,,,,,
303,25.8,22.66566849,25.8,,,,,,,,,,,
304,12.88,12.89980698,12.88,,,,,,,,,,,
305,13.7,13.12688351,13.7,,,,,,,,,,,
306,33.98,25.68884468,33.98,,,,,,,,,,,
307,12.5,12.98535538,12.5,,,,,,,,,,,
308,12,12.0787096,12,,,,,,,,,,,
309,33,32.89340591,33,,,,,,,,,,,
310,22.5,24.05535316,22.5,,,,,,,,,,,
311,12.98,15.88345432,12.98,,,,,,,,,,,
312,12,12.01498699,12,,,,,,,,,,,
313,11.2,13.11801815,11.2,,,,,,,,,,,
314,18,18.12817192,18,,,,,,,,,,,
315,8.18,10.80505466,8.18,,,,,,,,,,,
316,11.58,14.05233765,11.58,,,,,,,,,,,
317,20,19.73431206,20,,,,,,,,,,,
318,14.5,19.06865311,14.5,,,,,,,,,,,
319,20,20.04174614,20,,,,,,,,,,,
320,12.58,14.59303474,12.58,,,,,,,,,,,
321,10.3,11.89392185,10.3,,,,,,,,,,,
322,2.8,2.939912558,2.8,,,,,,,,,,,
323,3.48,5.398952961,3.48,,,,,,,,,,,
324,5.8,5.654636383,5.8,,,,,,,,,,,
325,4.8,5.060441971,4.8,,,,,,,,,,,
326,21,21.10035324,21,,,,,,,,,,,
327,13.5,13.04186058,13.5,,,,,,,,,,,
328,20.5,22.23844719,20.5,,,,,,,,,,,
329,18,18.05774689,18,,,,,,,,,,,
330,5.18,4.574310303,5.18,,,,,,,,,,,
331,15,15.09943485,15,,,,,,,,,,,
332,9.8,9.389060974,9.8,,,,,,,,,,,
333,34,34.2374115,34,,,,,,,,,,,
334,6.68,7.682785988,6.68,,,,,,,,,,,
335,13.8,17.15438652,13.8,,,,,,,,,,,
336,1.68,1.697222233,1.68,,,,,,,,,,,
337,21,20.91676331,21,,,,,,,,,,,
338,6.88,8.960446358,6.88,,,,,,,,,,,
339,3.58,2.690237045,3.58,,,,,,,,,,,
340,21,21.12957573,21,,,,,,,,,,,
341,12,11.86873913,12,,,,,,,,,,,
342,12,12.17168903,12,,,,,,,,,,,
343,2.6,2.375389099,2.6,,,,,,,,,,,
344,18,18.09370804,18,,,,,,,,,,,
345,18.88,16.72542953,18.88,,,,,,,,,,,
346,6.45,6.1739645,6.45,,,,,,,,,,,
347,21.5,18.9838047,21.5,,,,,,,,,,,
348,10,10.50953102,10,,,,,,,,,,,
349,13,12.94505596,13,,,,,,,,,,,
350,7.8,8.633223534,7.8,,,,,,,,,,,
351,12,16.26865578,12,,,,,,,,,,,
352,3.8,4.247714996,3.8,,,,,,,,,,,
353,8.68,10.21970558,8.68,,,,,,,,,,,
354,16.58,15.82179832,16.58,,,,,,,,,,,
355,35,34.74507523,35,,,,,,,,,,,
356,25,20.05741692,25,,,,,,,,,,,
357,4,4.002955437,4,,,,,,,,,,,
358,11.98,9.805308342,11.98,,,,,,,,,,,
359,12.5,13.80639648,12.5,,,,,,,,,,,
360,9.1,11.9063921,9.1,,,,,,,,,,,
361,18.2,17.73464012,18.2,,,,,,,,,,,
362,11,11.01976013,11,,,,,,,,,,,
363,22,22.12541771,22,,,,,,,,,,,
364,13.5,15.85580444,13.5,,,,,,,,,,,
365,20,20.02227211,20,,,,,,,,,,,
366,14.5,14.49959755,14.5,,,,,,,,,,,
367,13.2,13.82444191,13.2,,,,,,,,,,,
368,2,2.52062583,2,,,,,,,,,,,
369,15.8,15.2593689,15.8,,,,,,,,,,,
370,22,18.63459969,22,,,,,,,,,,,
371,36,28.02381897,36,,,,,,,,,,,
372,7,6.675500393,7,,,,,,,,,,,
373,18.5,17.6104908,18.5,,,,,,,,,,,
374,10,9.978181839,10,,,,,,,,,,,
375,12,11.8111105,12,,,,,,,,,,,
376,3.2,2.463005304,3.2,,,,,,,,,,,
377,9.8,8.678401947,9.8,,,,,,,,,,,
378,32,31.95689964,32,,,,,,,,,,,
379,4.1,4.758112907,4.1,,,,,,,,,,,
380,27.8,22.84253311,27.8,,,,,,,,,,,
381,21.6,21.20012093,21.6,,,,,,,,,,,
382,26,24.52768135,26,,,,,,,,,,,
383,4.98,4.150902748,4.98,,,,,,,,,,,
384,2,3.424879789,2,,,,,,,,,,,
385,6,5.923737526,6,,,,,,,,,,,
386,37.58,33.51122665,37.58,,,,,,,,,,,
387,23,21.20339775,23,,,,,,,,,,,
388,9,8.897150993,9,,,,,,,,,,,
389,28,28.32682419,28,,,,,,,,,,,
390,28,27.67416954,28,,,,,,,,,,,
391,20,20.04407501,20,,,,,,,,,,,
392,13,12.92849636,13,,,,,,,,,,,
393,12.5,12.67022991,12.5,,,,,,,,,,,
394,4,7.643274784,4,,,,,,,,,,,
395,21,21.35536385,21,,,,,,,,,,,
396,12.58,13.11227798,12.58,,,,,,,,,,,
397,9,8.933624268,9,,,,,,,,,,,
398,32.8,30.57409859,32.8,,,,,,,,,,,
399,1.98,2.228752136,1.98,,,,,,,,,,,
400,38,37.91178513,38,,,,,,,,,,,
401,3.18,3.979705334,3.18,,,,,,,,,,,
402,3,2.909249544,3,,,,,,,,,,,
403,2.9,5.111390591,2.9,,,,,,,,,,,
404,7.75,8.953145981,7.75,,,,,,,,,,,
405,16.5,18.91545677,16.5,,,,,,,,,,,
406,17,18.79226494,17,,,,,,,,,,,
407,13,13.01583767,13,,,,,,,,,,,
408,19.8,18.82082367,19.8,,,,,,,,,,,
409,20.9,19.77246857,20.9,,,,,,,,,,,
410,19.5,18.12098122,19.5,,,,,,,,,,,
411,12.28,11.03738594,12.28,,,,,,,,,,,
412,23,24.65872765,23,,,,,,,,,,,
413,28.8,25.72662735,28.8,,,,,,,,,,,
414,15,15.24317265,15,,,,,,,,,,,
415,19,22.60106277,19,,,,,,,,,,,
416,15,15.09598923,15,,,,,,,,,,,
417,32,31.99803162,32,,,,,,,,,,,
418,18.9,21.15001869,18.9,,,,,,,,,,,
419,10.3,10.31529713,10.3,,,,,,,,,,,
420,9.88,9.236510277,9.88,,,,,,,,,,,
421,26,26.23290253,26,,,,,,,,,,,
422,10.58,10.12544346,10.58,,,,,,,,,,,
423,14.6,13.5381012,14.6,,,,,,,,,,,
424,18,15.59016514,18,,,,,,,,,,,
425,26,26.15099716,26,,,,,,,,,,,
426,7,7.190217972,7,,,,,,,,,,,
427,15,15.3169651,15,,,,,,,,,,,
428,31,24.39459801,31,,,,,,,,,,,
429,12.08,11.3083477,12.08,,,,,,,,,,,
430,17.8,17.07923317,17.8,,,,,,,,,,,
431,11.18,13.32010174,11.18,,,,,,,,,,,
432,16.9,14.98946381,16.9,,,,,,,,,,,
433,31.98,29.32411194,31.98,,,,,,,,,,,
434,2.38,2.053158998,2.38,,,,,,,,,,,
435,6,5.944595337,6,,,,,,,,,,,
436,10,9.942538261,10,,,,,,,,,,,
437,22,21.92956161,22,,,,,,,,,,,
438,15,14.89414787,15,,,,,,,,,,,
439,7,6.679586411,7,,,,,,,,,,,
440,10.5,10.12675667,10.5,,,,,,,,,,,
441,35.8,23.33611679,35.8,,,,,,,,,,,
442,7.98,6.992452145,7.98,,,,,,,,,,,
443,27.8,23.58873177,27.8,,,,,,,,,,,
444,7.9,8.405988693,7.9,,,,,,,,,,,
445,6.7,6.182972908,6.7,,,,,,,,,,,
446,15,15.09949207,15,,,,,,,,,,,
447,23,23.18460846,23,,,,,,,,,,,
448,3.8,7.551305771,3.8,,,,,,,,,,,
449,15.99,17.08065224,15.99,,,,,,,,,,,
450,27,27.85377693,27,,,,,,,,,,,
